sentID,words,swapsEager,swapsLazy,swapsLazier,avgBlockSizeEager,avgBlockSizeLazy,avgBlockSizeLazier,avgAltBlockSizeEager,avgAltBlockSizeLazy,avgAltBlockSizeLazier,better
22843,4,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22844,7,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22845,18,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22846,19,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22847,15,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22848,25,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22849,10,6,4,4,1.500000,1.500000,1.500000,1.000000,1.500000,1.500000,no
22850,15,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22851,19,4,1,1,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,no
22852,21,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22853,8,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22854,13,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22855,10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22856,8,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22857,16,11,6,6,1.272727,1.333333,1.333333,1.000000,1.833333,1.833333,no
22858,26,24,8,8,2.000000,2.000000,2.000000,1.000000,3.000000,3.000000,no
22859,13,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22860,9,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22861,18,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22862,25,34,10,10,1.500000,1.500000,1.500000,1.000000,3.400000,3.400000,no
22863,18,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22864,3,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22865,29,6,3,3,5.000000,5.000000,5.000000,1.000000,2.000000,2.000000,no
22866,13,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22867,17,5,1,1,2.000000,2.000000,2.000000,1.000000,5.000000,5.000000,no
22868,21,18,2,2,1.000000,1.000000,1.000000,1.000000,9.000000,9.000000,no
22869,7,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22870,25,30,2,2,1.000000,1.000000,1.000000,1.000000,15.000000,15.000000,no
22871,40,88,53,14,1.056818,1.018868,1.071429,1.000000,1.660377,6.285714,no
22872,27,5,5,5,1.200000,1.200000,1.200000,1.000000,1.000000,1.000000,no
22873,10,10,6,6,1.000000,1.000000,1.000000,1.000000,1.666667,1.666667,no
22874,9,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22875,14,16,8,8,1.000000,1.000000,1.000000,1.000000,2.000000,2.000000,no
22876,31,22,12,8,5.500000,5.083333,4.625000,1.000000,1.833333,2.750000,no
22877,15,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22878,31,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22879,17,2,1,1,1.000000,1.000000,1.000000,1.000000,2.000000,2.000000,no
22880,23,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22881,19,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22882,22,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22883,7,2,2,2,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,no
22884,26,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22885,7,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22886,10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22887,16,3,3,3,4.333333,4.333333,4.333333,1.000000,1.000000,1.000000,no
22888,32,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22889,19,7,1,1,2.000000,2.000000,2.000000,1.000000,7.000000,7.000000,no
22890,17,4,4,4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,no
22891,17,27,11,11,2.518519,2.636364,2.636364,1.000000,2.454545,2.454545,no
22892,9,3,3,3,1.666667,1.666667,1.666667,1.000000,1.000000,1.000000,no
22893,22,2,2,2,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,no
22894,3,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22895,7,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22896,57,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22897,12,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22898,35,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22899,12,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22900,61,117,3,3,1.000000,1.000000,1.000000,1.000000,39.000000,39.000000,no
22901,17,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22902,13,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22903,31,4,3,3,2.000000,2.000000,2.000000,1.000000,1.333333,1.333333,no
22904,43,4,1,1,2.000000,2.000000,2.000000,1.000000,4.000000,4.000000,no
22905,36,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22906,29,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22907,25,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22908,37,18,4,4,1.000000,1.000000,1.000000,1.000000,4.500000,4.500000,no
22909,21,8,4,4,1.000000,1.000000,1.000000,1.000000,2.000000,2.000000,no
22910,27,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22911,5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22912,17,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22913,6,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22914,16,8,6,6,1.000000,1.000000,1.000000,1.000000,1.333333,1.333333,no
22915,28,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22916,19,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22917,28,18,3,3,1.555556,2.666667,2.666667,1.000000,6.000000,6.000000,no
22918,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22919,29,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22920,19,16,2,2,1.000000,1.000000,1.000000,1.000000,8.000000,8.000000,no
22921,25,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22922,31,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22923,12,4,4,4,3.000000,3.000000,3.000000,1.000000,1.000000,1.000000,no
22924,53,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
